ID	variant	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
1489	indel	2014	8	20	20	100	90.0	17	100	88.0
1490	indel	1386	9	20	20	100	85.0	15	100	80.0
1491	snp	1748	14	20	20	100	60.0	7	100	71.0
1492	snp	1206	6	20	20	100	70.0	6	100	100.0
1493	snp	1229	13	20	20	100	60.0	3	100	100.0
1494	snp	1602	7	20	20	100	85.0	1	100	100.0
1495	snp	1406	8	20	20	100	65.0	4	100	100.0
1496	snp	1407	6	20	20	100	75.0	2	100	100.0
1497	snp	1404	19	20	20	100	75.0	1	100	100.0
1498	snp	1325	5	20	20	100	60.0	1	100	100.0
1499	snp	1317	11	20	20	100	75.0	9	100	88.0
1500	snp	1531	9	20	20	100	85.0	14	100	92.0
1501	snp	1399	8	20	20	100	80.0	12	100	91.0
1502	snp	1335	6	20	18	100	72.0	8	100	75.0
1503	snp	1572	13	20	20	100	90.0	1	100	100.0
1504	snp	1495	9	20	20	100	80.0	5	100	100.0
1505	snp	1357	8	20	20	100	80.0	8	100	62.0
1506	snp	1770	15	20	20	100	90.0	11	100	100.0
1507	snp	1665	11	20	20	100	25.0	9	100	33.0
1508	snp	1756	23	20	20	0	0	13	0	0
1509	snp	1756	11	20	20	0	0	10	0	0
1510	snp	1764	14	20	20	0	0	7	0	0
1511	snp	1756	9	20	20	100	5.0	9	100	11.0
1512	snp	1780	13	20	20	0	0	6	0	0
1513	snp	1764	19	20	20	0	0	9	0	0
1514	snp	1773	6	20	20	100	5.0	8	100	12.0
1515	snp	1730	13	20	20	100	5.0	9	100	11.0
1516	snp	1572	9	20	20	0	0	6	0	0
1517	snp	1465	12	20	20	0	0	3	0	0
1518	snp	1316	1	20	18	0	0	3	0	0
1519	snp	1312	11	20	20	0	0	11	0	0
1520	snp	851	4	20	20	100	45.0	2	0	0
1521	snp	792	6	20	20	100	100.0	0	0	0
1522	snp	712	2	20	20	100	70.0	0	0	0
1523	snp	701	2	20	20	100	100.0	0	0	0
1524	snp	232	1	7	7	100	100.0	0	0	0
1525	snp	499	1	20	20	100	100.0	1	100	100.0
1526	snp	1077	2	20	20	100	60.0	4	100	25.0
1527	snp	1787	4	20	20	100	10.0	10	100	10.0
1528	snp	1922	9	20	20	0	0	9	0	0
1529	snp	1932	5	20	20	0	0	9	0	0
1530	snp	1908	10	20	20	0	0	13	0	0
1531	snp	1863	4	20	20	100	15.0	12	100	25.0
1532	snp	1940	5	20	20	0	0	11	0	0
1533	snp	1911	10	20	20	100	10.0	11	100	18.0
1534	snp	1815	4	20	20	100	5.0	12	100	8.0
1535	snp	1171	6	20	20	100	35.0	4	0	0
1536	snp	342	1	7	7	100	100.0	0	0	0
1537	snp	611	8	20	20	100	5.0	15	0	0
1538	snp	886	1	14	12	0	0	5	0	0
1539	snp	804	5	20	20	100	100.0	0	0	0
1540	snp	820	2	20	20	100	100.0	0	0	0
1541	snp	820	2	20	20	100	100.0	0	0	0
1542	snp	809	1	20	20	100	100.0	0	0	0
1543	snp	815	1	20	20	100	100.0	0	0	0
1544	snp	797	2	20	20	100	100.0	0	0	0
1545	snp	820	5	20	20	100	100.0	0	0	0
1546	snp	812	5	20	20	100	100.0	0	0	0
1547	snp	755	1	20	20	100	100.0	0	0	0
1548	snp	741	6	20	20	100	15.0	0	0	0
1549	snp	874	1	20	20	100	25.0	0	0	0
1550	snp	976	14	20	20	0	0	0	0	0
1551	snp	944	3	20	20	100	10.0	2	0	0
1552	snp	940	11	20	20	0	0	3	0	0
1553	snp	915	8	20	20	100	10.0	9	100	22.0
1554	snp	1027	8	20	20	0	0	6	0	0
1555	snp	1110	3	20	20	100	5.0	4	0	0
1556	snp	1156	5	20	20	100	5.0	7	100	14.0
1557	snp	1352	7	20	20	0	0	7	0	0
1558	snp	1425	4	20	20	100	5.0	5	100	20.0
1559	snp	1482	12	20	20	100	5.0	4	100	25.0
1560	snp	1620	5	20	20	0	0	5	0	0
1561	snp	1733	7	20	20	100	10.0	8	100	12.0
1562	snp	1784	3	20	20	100	95.0	3	100	66.0
1563	snp	1824	4	20	20	100	100.0	7	100	100.0
1564	snp	1832	12	20	20	100	100.0	5	100	100.0
1565	snp	1824	2	20	20	100	100.0	5	100	100.0
1566	snp	1840	14	20	20	100	100.0	1	100	100.0
1567	snp	1834	3	20	20	100	100.0	8	100	100.0
1568	snp	1816	8	20	20	100	100.0	2	100	100.0
1569	snp	1760	2	20	20	100	100.0	6	100	100.0
1570	snp	1832	5	20	20	100	100.0	3	100	100.0
1571	snp	1840	9	20	20	100	100.0	5	100	100.0
1572	snp	1840	6	20	20	100	100.0	5	100	100.0
1573	snp	1840	10	20	20	100	100.0	5	100	100.0
1574	snp	1832	4	20	20	100	100.0	6	100	100.0
1575	snp	1833	2	20	20	100	100.0	5	100	100.0
1576	snp	1799	4	20	20	100	95.0	5	100	80.0
1577	snp	1786	5	20	20	100	100.0	7	100	100.0
1578	snp	1825	4	20	20	100	100.0	4	100	100.0
1579	snp	1825	4	20	20	100	100.0	5	100	100.0
1580	snp	1808	5	20	20	100	100.0	2	100	100.0
1581	snp	1816	5	20	18	100	100.0	6	100	100.0
1582	snp	1740	6	20	20	100	95.0	3	100	100.0
1583	snp	1832	15	20	20	100	100.0	2	100	100.0
1584	snp	1757	10	20	20	100	95.0	11	100	90.0
1585	snp	1827	1	20	20	100	100.0	5	100	100.0
1586	snp	1816	2	20	20	100	100.0	7	100	100.0
1587	snp	1824	9	20	20	100	100.0	9	100	100.0
1588	snp	1739	3	20	20	0	0	9	0	0
1589	snp	1840	9	20	20	100	100.0	6	100	100.0
1590	snp	1780	8	20	20	100	100.0	4	100	100.0
1591	snp	1840	9	20	20	100	100.0	3	100	100.0
1592	snp	1824	57	20	20	100	100.0	8	100	100.0
1593	snp	1789	5	20	20	100	95.0	7	100	85.0
1594	snp	1840	8	20	20	100	100.0	1	100	100.0
1595	snp	1778	10	20	20	100	90.0	12	100	83.0
1596	snp	1824	13	20	20	100	100.0	5	100	100.0
1597	snp	1824	4	20	20	100	100.0	7	100	100.0
1598	snp	1779	3	20	20	100	100.0	9	100	100.0
1599	snp	1802	5	20	20	100	100.0	9	100	100.0
1600	snp	1824	6	20	20	100	100.0	3	100	100.0
1601	snp	1832	1	20	20	100	100.0	8	100	100.0
1602	snp	1824	9	20	20	100	100.0	11	100	100.0
1603	snp	1840	13	20	20	100	100.0	6	100	100.0
1604	snp	1776	4	20	20	100	100.0	10	100	100.0
1605	snp	1816	10	20	20	100	100.0	4	100	100.0
1606	snp	1813	3	20	20	100	95.0	4	100	75.0
1607	snp	1815	14	20	20	100	100.0	7	100	100.0
1608	snp	1338	7	20	20	100	90.0	8	100	75.0
1609	snp	1244	11	20	20	100	95.0	7	100	85.0
1610	snp	1062	4	20	20	100	100.0	8	100	100.0
1611	snp	923	3	20	20	100	100.0	3	100	100.0
1612	snp	918	1	20	20	100	100.0	0	0	0
1613	snp	565	1	20	20	100	5.0	0	0	0
1614	snp	932	2	20	20	100	100.0	0	0	0
1615	snp	919	1	20	20	100	100.0	0	0	0
1616	snp	926	1	20	18	100	100.0	0	0	0
1617	snp	942	1	20	20	100	100.0	0	0	0
1618	snp	940	1	20	20	100	100.0	0	0	0
1619	snp	928	2	20	20	100	100.0	0	0	0
1620	snp	947	2	20	20	100	100.0	0	0	0
1621	snp	940	2	20	20	100	100.0	0	0	0
1622	snp	924	1	20	20	100	100.0	0	0	0
1623	snp	784	3	17	17	100	100.0	0	0	0
1624	snp	544	1	20	20	100	100.0	0	0	0
1625	snp	816	1	20	20	100	100.0	0	0	0
1626	snp	738	2	20	20	100	100.0	0	0	0
1627	snp	735	2	20	20	100	100.0	0	0	0
1628	snp	612	1	20	20	100	100.0	0	0	0
1629	snp	749	2	20	20	100	100.0	0	0	0
1630	snp	820	2	20	20	100	100.0	0	0	0
1631	snp	829	4	20	20	100	100.0	0	0	0
1632	snp	793	1	20	20	100	5.0	0	0	0
1633	snp	776	4	20	20	0	0	0	0	0
1634	snp	819	1	20	20	100	95.0	0	0	0
1635	snp	828	6	20	20	100	90.0	0	0	0
1636	snp	841	5	20	20	100	65.0	0	0	0
1637	snp	860	2	20	18	100	50.0	0	0	0
1638	snp	856	1	20	18	100	61.0	0	0	0
1639	snp	823	1	20	20	100	30.0	0	0	0
1640	snp	897	7	20	20	100	35.0	0	0	0
1641	snp	1173	9	20	20	100	60.0	9	100	88.0
1642	snp	1393	7	20	20	0	0	7	0	0
1643	snp	1520	13	20	20	100	5.0	3	100	33.0
1644	snp	1599	11	20	20	100	5.0	3	0	0
1645	snp	1632	14	20	20	0	0	4	0	0
1646	snp	1598	11	20	20	100	10.0	6	100	16.0
1647	snp	1705	5	20	20	100	10.0	5	100	40.0
1648	snp	1740	2	20	20	100	10.0	4	100	25.0
1649	snp	1887	4	20	20	100	5.0	9	100	11.0
1650	snp	1899	14	20	20	100	5.0	5	0	0
1651	snp	1935	7	20	20	100	5.0	0	0	0
1652	snp	1935	7	20	20	100	10.0	2	0	0
1653	snp	1910	9	20	20	100	10.0	3	100	33.0
1654	snp	1903	11	20	20	100	5.0	11	0	0
1655	snp	1927	7	20	20	100	5.0	3	100	33.0
1656	snp	1932	6	20	20	100	10.0	3	100	66.0
1657	snp	1884	4	20	20	0	0	4	0	0
1658	snp	1940	17	20	20	0	0	2	0	0
1659	snp	1919	14	20	20	100	5.0	3	0	0
1660	snp	1940	8	20	20	100	5.0	0	0	0
1661	snp	1932	12	20	20	0	0	0	0	0
1662	snp	1904	6	20	20	100	10.0	7	100	28.0
1663	snp	1887	1	20	20	100	15.0	11	100	27.0
1664	snp	1882	9	20	20	100	25.0	10	100	40.0
1665	snp	1832	4	20	20	100	15.0	12	100	25.0
1666	snp	1932	9	20	20	100	5.0	3	0	0
1667	snp	1940	11	20	20	100	5.0	1	100	100.0
1668	snp	1932	11	20	20	0	0	4	0	0
1669	snp	1924	14	20	20	100	5.0	4	100	25.0
1670	snp	1924	9	20	20	100	5.0	3	0	0
1671	snp	1911	5	20	20	100	15.0	5	100	40.0
1672	snp	1871	2	20	20	100	10.0	12	100	16.0
1673	snp	1924	9	20	20	0	0	6	0	0
1674	snp	1911	12	20	20	100	5.0	8	100	12.0
1675	snp	1924	8	20	20	100	10.0	8	100	25.0
1676	snp	1940	11	20	20	100	10.0	9	100	22.0
1677	snp	1869	2	20	20	100	15.0	5	100	20.0
1678	snp	1924	7	20	20	100	10.0	5	100	40.0
1679	snp	1932	17	20	20	0	0	4	0	0
1680	snp	1940	9	20	20	100	10.0	7	100	14.0
1681	snp	1920	2	20	20	100	5.0	4	100	25.0
1682	snp	1932	8	20	20	0	0	2	0	0
1683	snp	1924	10	20	20	100	5.0	6	0	0
1684	snp	1820	9	20	20	100	5.0	6	100	16.0
1685	snp	1924	8	20	20	0	0	7	0	0
1686	snp	1940	11	20	20	100	5.0	3	100	33.0
1687	snp	1845	1	20	20	100	15.0	7	100	42.0
1688	snp	1940	11	20	20	0	0	2	0	0
1689	snp	1932	14	20	20	100	10.0	1	0	0
1690	snp	1917	3	20	20	100	15.0	7	100	14.0
1691	snp	1900	5	20	20	100	20.0	5	100	40.0
1692	snp	1940	41	20	20	0	0	0	0	0
1693	snp	1893	1	20	20	100	10.0	10	100	20.0
1694	snp	1925	4	20	20	100	15.0	10	100	30.0
1695	snp	1925	6	20	20	100	5.0	4	100	25.0
1696	snp	1940	4	20	20	0	0	0	0	0
1697	snp	1924	9	20	20	0	0	8	0	0
1698	snp	1901	2	20	20	100	5.0	8	100	12.0
1699	snp	1940	10	20	20	0	0	5	0	0
1700	snp	1932	10	20	20	0	0	6	0	0
1701	snp	1940	12	20	20	0	0	5	0	0
1702	snp	1925	7	20	20	100	5.0	3	100	33.0
1703	snp	1940	10	20	20	0	0	3	0	0
1704	snp	1932	8	20	20	0	0	6	0	0
1705	snp	1876	14	20	20	0	0	12	0	0
1706	snp	1940	13	20	20	0	0	3	0	0
1707	snp	1924	10	20	20	100	15.0	5	100	20.0
1708	snp	1940	11	20	20	100	10.0	10	100	20.0
1709	snp	1908	11	20	20	0	0	11	0	0
1710	snp	1940	11	20	20	0	0	0	0	0
1711	snp	1890	14	20	20	100	10.0	4	100	25.0
1712	snp	1853	2	20	20	100	10.0	8	100	25.0
1713	snp	1892	8	20	20	100	10.0	8	100	25.0
1714	snp	1888	7	20	20	100	10.0	8	100	25.0
1715	snp	1925	2	20	20	100	5.0	7	100	14.0
1716	snp	1866	3	20	20	100	5.0	8	100	12.0
1717	snp	1932	13	20	20	0	0	5	0	0
1718	snp	1916	7	20	20	0	0	6	0	0
1719	snp	1872	3	20	20	100	10.0	5	100	40.0
1720	snp	1925	3	20	20	100	5.0	3	100	33.0
1721	snp	1927	9	20	20	100	5.0	8	100	12.0
1722	snp	1928	5	20	20	100	10.0	2	100	100.0
1723	snp	1908	8	20	20	0	0	5	0	0
1724	snp	1872	3	20	20	100	5.0	7	100	14.0
1725	snp	1927	6	20	20	100	5.0	6	100	16.0
1726	snp	1940	6	20	20	0	0	2	0	0
1727	snp	1866	2	20	20	100	15.0	10	100	30.0
1728	snp	1940	13	20	20	0	0	2	0	0
1729	snp	1940	8	20	20	100	5.0	2	0	0
1730	snp	1843	11	20	20	100	70.0	2	100	50.0
1731	snp	1932	7	20	20	100	75.0	6	100	50.0
1732	snp	1940	12	20	20	100	75.0	1	100	100.0
1733	snp	1835	14	20	20	100	80.0	3	100	66.0
1734	snp	1940	9	20	20	100	90.0	4	100	75.0
1735	snp	1874	3	20	20	100	75.0	10	100	80.0
1736	snp	1882	9	20	20	100	90.0	14	100	85.0
1737	snp	1812	4	20	20	100	90.0	11	100	90.0
1738	snp	1843	9	20	20	100	85.0	4	100	50.0
1739	snp	1940	8	20	20	100	70.0	2	100	50.0
1740	snp	1843	11	20	20	100	65.0	5	100	40.0
1741	snp	1862	5	20	20	100	12.0	4	100	60.0
1742	snp	1932	12	20	20	0	0	4	0	0
1743	snp	1731	7	20	20	100	5.0	8	100	12.0
1744	snp	1932	11	20	20	0	0	3	0	0
1745	snp	1932	11	20	20	100	20.0	9	100	44.0
1746	snp	1932	11	20	20	0	0	3	0	0
1747	snp	1932	10	20	20	100	5.0	4	100	25.0
1748	snp	1900	8	20	20	0	0	13	0	0
1749	snp	1940	14	20	20	0	0	1	0	0
1750	snp	1916	16	20	20	0	0	5	0	0
1751	snp	1924	12	20	20	100	5.0	4	100	25.0
1752	snp	1940	13	20	20	0	0	8	0	0
1753	snp	1909	5	20	20	100	10.0	7	100	28.0
1754	snp	1905	7	20	20	100	10.0	12	100	16.0
1755	snp	1820	6	20	20	100	15.0	14	100	21.0
1756	snp	1882	9	20	20	100	5.0	8	100	12.0
1757	snp	1647	9	20	20	0	0	5	0	0
1758	snp	1500	7	20	20	0	0	6	0	0
1759	snp	1382	8	20	20	0	0	3	0	0
1760	snp	1295	6	20	20	0	0	9	0	0
1761	snp	1070	3	20	20	100	23.333333333333332	6	100	49.666666666666664
1762	snp	1038	3	20	20	100	70.0	4	100	50.0
1763	snp	1000	3	20	20	100	100.0	6	100	100.0
1764	snp	1033	6	20	20	100	100.0	2	100	100.0
1765	snp	1000	9	20	20	0	0	0	0	0
1766	snp	1020	3	20	20	100	95.0	0	0	0
1767	snp	1003	1	20	20	100	100.0	0	0	0
1768	snp	1032	1	20	20	100	100.0	0	0	0
1769	snp	993	1	20	20	100	85.0	0	0	0
1770	snp	1030	2	20	20	100	95.0	0	0	0
1771	snp	1040	4	20	20	100	100.0	0	0	0
1772	snp	1040	4	20	20	100	100.0	0	0	0
1773	snp	1008	1	20	20	100	100.0	0	0	0
1774	snp	960	2	20	18	100	100.0	0	0	0
1775	snp	1029	2	20	20	100	100.0	0	0	0
1776	snp	1002	2	20	20	100	100.0	0	0	0
1777	snp	1029	3	20	20	100	100.0	0	0	0
1778	snp	803	1	20	20	100	100.0	0	0	0
1779	snp	988	3	20	20	100	95.0	0	0	0
1780	snp	1040	1	20	20	100	100.0	0	0	0
1781	snp	1033	5	20	20	100	100.0	0	0	0
1782	snp	1040	2	20	20	100	100.0	0	0	0
1783	snp	1041	3	20	20	100	100.0	0	0	0
1784	snp	1015	3	20	20	100	100.0	0	0	0
1785	snp	974	3	20	20	100	100.0	0	0	0
1786	snp	41	4	1	1	100	100.0	0	0	0
1787	indel	1040	3	20	20	100	100.0	0	0	0
1788	indel	1030	4	20	20	100	100.0	0	0	0
1789	indel	1040	3	20	20	100	100.0	0	0	0
1790	indel	1035	3	20	20	100	100.0	0	0	0
1791	indel	1020	3	20	20	100	100.0	0	0	0
1792	indel	1016	2	20	20	100	100.0	0	0	0
1793	indel	1040	4	20	20	100	100.0	0	0	0
1794	indel	1043	4	20	20	100	100.0	0	0	0
1795	indel	1039	4	20	20	100	100.0	0	0	0
1796	indel	1001	1	20	20	100	100.0	0	0	0
1797	indel	1040	2	20	20	100	100.0	0	0	0
1798	indel	1035	4	20	20	100	100.0	0	0	0
1799	indel	1040	3	20	20	100	100.0	0	0	0
1800	indel	1023	7	20	20	100	95.0	0	0	0
1801	indel	1036	4	20	20	100	100.0	0	0	0
1802	indel	1032	7	20	20	100	100.0	0	0	0
1803	indel	1040	1	20	20	100	100.0	0	0	0
1804	indel	1015	1	20	20	100	95.0	0	0	0
1805	indel	1117	1	20	20	100	40.0	7	0	0
1806	indel	1681	2	20	18	100	16.0	8	100	12.0
1807	indel	1851	11	20	20	90	50.0	11	90	45.0
1808	indel	1949	5	20	20	100	84.0	16	100	79.8
1809	indel	1939	6	20	20	100	100.0	7	100	100.0
1810	indel	1914	11	20	20	100	74.54545454545455	11	100	75.27272727272727
1811	indel	1946	9	20	20	100	82.22222222222223	8	100	86.0
1812	indel	1954	14	20	20	92	91.53846153846153	12	92	87.84615384615384
1813	indel	1840	2	20	20	100	90.0	15	100	93.0
1814	indel	98	15	1	1	93	100.0	1	93	100.0
1815	snp	109	9	11	11	0	0	10	0	0
1816	snp	793	2	20	20	100	85.0	1	0	0
1817	snp	1013	8	20	20	100	5.0	6	0	0
1818	snp	1327	5	20	20	0	0	9	0	0
1819	snp	1772	9	20	20	0	0	12	0	0
1820	snp	1690	3	20	20	100	10.0	16	100	12.0
1821	snp	1758	1	20	20	100	10.0	13	100	15.0
1822	snp	1503	3	20	20	100	25.0	11	100	18.0
1823	snp	561	1	17	17	100	100.0	0	0	0
1824	snp	765	1	20	20	100	60.0	8	100	25.0
1825	snp	1547	7	20	20	100	5.0	16	100	6.0
1826	snp	1770	6	20	20	100	5.0	16	100	6.0
1827	snp	260	1	6	6	100	16.0	1	0	0
1828	snp	114	3	20	18	100	5.0	14	100	7.0
1829	snp	850	2	16	16	100	100.0	6	100	100.0
1830	snp	378	11	18	14	0	0	13	0	0
1831	indel	774	7	20	18	100	5.0	16	100	6.0
1832	indel	369	17	4	4	29	80.0	4	29	80.0
1833	snp	612	10	14	14	0	0	12	0	0
1834	snp	618	4	20	20	100	100.0	0	0	0
1835	snp	634	1	20	20	100	100.0	0	0	0
1836	snp	1255	2	20	20	100	25.0	7	100	28.0
1837	snp	1820	6	20	20	100	25.0	6	0	0
1838	snp	1840	9	20	20	100	100.0	6	100	100.0
1839	snp	1810	4	20	20	100	100.0	8	100	100.0
1840	snp	460	13	20	20	100	20.0	10	100	30.0
1841	snp	1770	10	20	20	100	100.0	13	100	100.0
1842	snp	1792	10	20	20	100	100.0	13	100	100.0
1843	snp	89	7	1	1	100	100.0	1	100	100.0
1844	snp	1169	9	20	20	0	0	5	0	0
1845	snp	1132	9	20	20	0	0	2	0	0
1846	snp	902	3	20	20	100	30.0	7	100	42.0
1847	snp	584	11	20	20	100	40.0	0	0	0
1848	snp	500	6	20	20	100	40.0	0	0	0
1849	snp	550	20	20	20	100	50.0	0	0	0
1850	snp	500	12	20	20	100	45.0	0	0	0
1851	snp	750	9	20	18	100	77.0	0	0	0
1852	snp	550	5	20	20	100	35.0	0	0	0
1853	snp	700	6	20	18	100	33.0	0	0	0
1854	snp	442	7	20	18	100	44.0	0	0	0
1855	snp	592	12	20	20	100	55.0	0	0	0
1856	snp	434	7	20	20	100	25.0	0	0	0
1857	snp	410	9	20	18	100	27.0	0	0	0
1858	snp	450	12	20	18	100	33.0	0	0	0
1859	snp	750	6	20	20	100	60.0	0	0	0
1860	snp	580	14	20	20	100	35.0	0	0	0
1861	snp	843	1	20	20	100	70.0	0	0	0
1862	snp	812	2	20	20	100	100.0	0	0	0
1863	snp	811	3	20	20	100	100.0	0	0	0
1864	snp	164	3	4	4	100	100.0	0	0	0
1865	snp	696	3	20	20	100	60.0	0	0	0
1866	snp	827	12	20	20	0	0	0	0	0
1867	snp	1293	2	20	20	100	10.0	12	100	16.0
1868	snp	1538	13	20	20	7	5.0	9	0	0
1869	snp	1590	4	20	20	100	10.0	16	100	12.0
1870	snp	1603	3	20	20	100	10.0	9	100	22.0
1871	snp	1571	9	20	20	0	0	5	0	0
1872	snp	1620	11	20	20	0	0	16	0	0
1873	snp	1582	8	20	20	100	10.0	7	100	28.0
1874	snp	1588	9	20	20	0	0	8	0	0
1875	snp	1588	3	20	20	100	5.0	9	100	11.0
1876	snp	1500	8	20	20	100	5.0	14	100	7.0
1877	snp	1010	3	20	20	100	25.0	4	0	0
1878	snp	528	3	16	16	100	93.0	0	0	0
1879	snp	1893	5	20	20	100	15.0	8	100	37.0
1880	snp	1312	7	20	20	100	70.0	9	100	77.0
1881	snp	1230	8	20	20	100	65.0	5	100	80.0
1882	snp	1455	9	20	20	100	75.0	3	100	100.0
1883	snp	962	15	20	18	100	50.0	5	100	40.0
1884	snp	1067	14	20	20	100	55.0	3	100	66.0
1885	snp	1253	12	20	20	100	65.0	2	100	100.0
1886	snp	1067	12	20	18	100	50.0	7	100	42.0
1887	snp	1417	6	20	20	100	75.0	10	100	80.0
1888	snp	865	15	20	20	100	45.0	10	100	40.0
1889	snp	1483	4	20	20	100	80.0	12	100	75.0
1890	snp	1350	12	20	20	100	70.0	8	100	62.0
1891	snp	1261	13	20	18	100	61.0	8	100	37.0
1892	snp	1455	7	20	20	100	75.0	11	100	63.0
1893	snp	1376	3	20	16	100	43.0	12	100	58.0
1894	snp	1940	11	20	20	100	5.0	10	100	10.0
1895	snp	1709	12	20	20	0	0	10	0	0
1896	snp	1139	7	20	20	100	10.0	11	100	9.0
1897	snp	874	3	20	20	100	90.0	0	0	0
1898	snp	440	2	10	10	100	100.0	0	0	0
1899	snp	1316	1	20	20	100	25.0	10	0	0
1900	snp	1060	10	20	20	0	0	14	0	0
1901	snp	317	1	9	9	100	22.0	2	0	0
1902	indel	1133	6	20	20	100	15.0	6	0	0
1903	indel	1975	15	20	20	93	66.42857142857143	11	93	76.5
1904	indel	1986	13	20	20	100	88.84615384615384	14	100	91.6923076923077
1905	indel	1951	5	20	20	100	78.0	18	100	77.4
1906	indel	1951	8	20	20	12	5.0	16	0	0
1907	indel	1069	4	20	20	100	25.0	6	0	0
1908	indel	384	4	8	8	100	100.0	0	0	0
1909	snp	686	1	20	20	100	80.0	0	0	0
1910	snp	1489	12	20	20	100	15.0	14	100	14.0
1911	snp	1917	8	20	20	100	5.0	11	100	9.0
1912	snp	1274	13	20	20	0	0	11	0	0
1913	snp	175	1	6	6	100	100.0	0	0	0
1914	snp	875	2	20	18	100	22.0	11	100	18.0
1915	snp	865	7	20	20	0	0	12	0	0
1916	snp	114	2	3	3	100	100.0	0	0	0
1917	snp	1132	2	20	20	100	30.0	8	100	25.0
1918	snp	1370	2	20	20	100	10.0	9	0	0
1919	snp	883	6	20	20	0	0	15	0	0
1920	snp	1545	5	20	20	100	10.0	14	100	14.0
1921	snp	581	2	11	11	100	63.0	3	100	33.0
1922	snp	1072	7	20	20	100	100.0	0	0	0
1923	snp	1073	1	20	20	100	100.0	4	100	100.0
1924	snp	1099	3	20	20	100	85.0	1	0	0
1925	snp	1626	2	20	20	100	100.0	11	100	100.0
1926	snp	1664	5	20	20	100	100.0	9	100	100.0
1927	snp	1645	6	20	20	100	95.0	12	100	91.0
1928	snp	1622	9	20	20	100	100.0	13	100	100.0
1929	snp	1637	1	20	20	100	95.0	8	100	87.0
1930	snp	1662	11	20	20	100	100.0	14	100	100.0
1931	snp	1013	2	20	20	100	100.0	7	100	100.0
1932	snp	726	1	20	20	100	100.0	0	0	0
1933	snp	712	3	20	20	100	100.0	0	0	0
1934	snp	493	2	18	18	100	100.0	0	0	0
1935	snp	771	1	20	20	100	40.0	0	0	0
1936	snp	824	7	20	20	100	25.0	1	100	100.0
1937	snp	1109	2	20	20	100	5.0	4	0	0
1938	snp	1353	11	20	20	0	0	7	0	0
1939	snp	1448	4	20	20	100	5.0	6	0	0
1940	snp	1612	12	20	20	0	0	7	0	0
1941	snp	1597	8	20	20	100	5.0	8	100	12.0
1942	snp	1620	6	20	20	0	0	3	0	0
1943	snp	1620	9	20	20	0	0	10	0	0
1944	snp	1604	9	20	20	0	0	5	0	0
1945	snp	1573	8	20	20	100	5.0	14	100	7.0
1946	snp	1612	14	20	20	0	0	12	0	0
1947	snp	1603	5	20	20	40	5.0	4	40	25.0
1948	snp	1590	4	20	20	100	10.0	8	100	25.0
1949	snp	1604	12	20	20	0	0	6	0	0
1950	snp	1597	4	20	20	100	5.0	9	100	11.0
1951	snp	1613	3	20	20	100	5.0	5	100	20.0
1952	snp	1596	10	20	20	0	0	5	0	0
1953	snp	1596	13	20	20	0	0	8	0	0
1954	snp	1582	7	20	20	100	15.0	11	100	27.0
1955	snp	1581	7	20	20	100	15.0	10	100	30.0
1956	snp	1604	8	20	20	0	0	5	0	0
1957	snp	1620	4	20	20	0	0	9	0	0
1958	snp	1615	11	20	20	0	0	6	0	0
1959	snp	1447	14	20	20	0	0	6	0	0
1960	snp	1270	5	20	18	0	0	6	0	0
1961	snp	1118	12	20	20	100	5.0	8	0	0
1962	snp	893	4	20	20	100	80.0	0	0	0
1963	snp	628	8	20	20	100	35.0	0	0	0
1964	snp	686	1	20	20	100	100.0	0	0	0
1965	snp	649	2	20	20	100	95.0	0	0	0
1966	snp	105	2	3	3	100	100.0	0	0	0
1967	snp	629	1	20	20	100	35.0	0	0	0
1968	snp	724	15	20	20	100	25.0	1	100	100.0
1969	snp	1014	2	20	20	100	7.5	4	0	0
1970	snp	1253	15	20	20	6	5.0	7	0	0
1971	snp	1351	2	20	20	100	5.0	6	0	0
1972	snp	1602	9	20	20	0	0	7	0	0
1973	snp	1605	6	20	20	100	5.0	8	100	12.0
1974	snp	1612	13	20	20	0	0	3	0	0
1975	snp	1620	10	20	20	0	0	10	0	0
1976	snp	1604	6	20	20	0	0	5	0	0
1977	snp	1581	4	20	20	100	5.0	14	100	7.0
1978	snp	1612	9	20	20	0	0	12	0	0
1979	snp	1608	5	20	20	100	5.0	4	100	25.0
1980	snp	1589	7	20	20	100	5.0	8	100	12.0
1981	snp	1604	11	20	20	0	0	6	0	0
1982	snp	1596	12	20	20	0	0	9	0	0
1983	snp	1612	11	20	20	0	0	5	0	0
1984	snp	1604	15	20	20	0	0	5	0	0
1985	snp	1604	18	20	20	0	0	8	0	0
1986	snp	1588	1	20	20	100	15.0	11	100	27.0
1987	snp	1573	5	20	20	100	15.0	10	100	30.0
1988	snp	1604	17	20	20	0	0	5	0	0
1989	snp	1620	12	20	20	0	0	9	0	0
1990	snp	1620	9	20	20	0	0	6	0	0
1991	snp	1547	316	20	20	0	0	6	0	0
1992	snp	1366	1	20	18	0	0	6	0	0
1993	snp	1218	6	20	20	100	5.0	8	0	0
1994	snp	976	6	20	20	100	80.0	0	0	0
